D1-3	Glacier_cave	Glacier_cave:1:0	efad5bdd-c3d3-c7ad-d5a2-00007e3bdd45	1
D1-4	Glacier_cave	Glacier_cave:1:1	efad5bdd-c3d3-c7ad-d5a2-00007e3bdd4a	0
D10-0	Outdoor_wood-fired_boiler	Outdoor_wood-fired_boiler:1:0	ae97c777-8c85-8e2e-8ede-00006aad49b8	0
D100-2	Light-independent_reactions	Light-independent_reactions:1:0	1defca84-f538-f548-d1ce-00001c25fba8	0
D100-3	Light-independent_reactions	Light-independent_reactions:1:1	1defca84-f538-f548-d1ce-00001c25fbad	0
D100-4	Light-independent_reactions	Light-independent_reactions:1:2	1defca84-f538-f548-d1ce-00001c25fbb2	0
D100-5	Light-independent_reactions	Light-independent_reactions:1:3	1defca84-f538-f548-d1ce-00001c25fbb7	0
D100-6	Light-independent_reactions	Light-independent_reactions:2:0	1defca84-f538-f548-d1ce-00001c25fbbc	0
D100-7	Light-independent_reactions	Light-independent_reactions:2:1	1defca84-f538-f548-d1ce-00001c25fbc1	0
D100-8	Light-independent_reactions	Light-independent_reactions:2:2	1defca84-f538-f548-d1ce-00001c25fbc6	0
D100-9	Light-independent_reactions	Light-independent_reactions:2:3	1defca84-f538-f548-d1ce-00001c25fbcb	0
D1000-11	Nuclear_power	Nuclear_power:111:0	39c71276-ba39-8bd7-7edb-00007e8c2c86	0
D1000-12	Nuclear_power	Nuclear_power:4:1	39c71276-ba39-8bd7-7edb-00007e8c265a	0
D1000-13	Nuclear_power	Nuclear_power:4:2	39c71276-ba39-8bd7-7edb-00007e8c265f	0
D1000-19	Nuclear_power	Nuclear_power:122:6	39c71276-ba39-8bd7-7edb-00007e8c2d3f	0
D1000-7	Nuclear_power	Nuclear_power:3:0	39c71276-ba39-8bd7-7edb-00007e8c2641	0
D1000-8	Nuclear_power	Nuclear_power:3:1	39c71276-ba39-8bd7-7edb-00007e8c2646	0
D1001-13	Cold_War	Cold_War:4:3	a02adbab-1787-678c-a09f-00005581cde0	0
D1001-14	Cold_War	Cold_War:4:4	a02adbab-1787-678c-a09f-00005581cde5	0
D1001-15	Cold_War	Cold_War:4:5	a02adbab-1787-678c-a09f-00005581cdea	0
D1001-19	Cold_War	Cold_War:4:10	a02adbab-1787-678c-a09f-00005581ce03	0
D1001-3	Cold_War	Cold_War:1:0	a02adbab-1787-678c-a09f-00005581cd7c	1
D1001-5	Cold_War	Cold_War:2:3	a02adbab-1787-678c-a09f-00005581cd90	0
D1002-0	Pikes_Peak_State_Park	Pikes_Peak_State_Park:1:0	699140ca-7b82-b35f-a669-000047159466	1
D1002-1	Pikes_Peak_State_Park	Pikes_Peak_State_Park:1:1	699140ca-7b82-b35f-a669-00004715946b	0
D1002-10	Pikes_Peak_State_Park	Pikes_Peak_State_Park:4:1	699140ca-7b82-b35f-a669-000047159498	0
D1002-2	Pikes_Peak_State_Park	Pikes_Peak_State_Park:1:2	699140ca-7b82-b35f-a669-000047159470	0
D1002-3	Pikes_Peak_State_Park	Pikes_Peak_State_Park:1:3	699140ca-7b82-b35f-a669-000047159475	0
